filename,reference,hypothesis,raw_ref,raw_hyp,wer
common_voice_en_100304,the one you marry has got to swim rivers for you,the one and only ascotus from the red house for you,The one you marry has got to swim rivers for you!," The one and only, Ascotus, from the Red House for you.",0.6363636363636364
common_voice_en_100305,i recommend investing in a good microphone,im going to ask you to drop me a phone,I recommend investing in a good microphone., I'm going to ask you to drop me a phone.,1.4285714285714286
common_voice_en_100306,im on the job,i love you,"""I'm on the job!""", I love you.,1.0
common_voice_en_100307,he ate his dinner in solitude contemplating his solemn task,glialos peki deslance et advale un aquis altos,"He ate his dinner in solitude, contemplating his solemn task."," Glialos Peki Deslance, et Advale Un aquis altos.",1.0
common_voice_en_100309,on our way to san francisco we were listening to reggae music and smoking weed,on our way to san francisco were listening to radio music and stinking weed,"On our way to San Francisco, we were listening to reggae music and smoking weed."," On our way to San Francisco, we're listening to radio music and stinking weed.",0.2
common_voice_en_100311,i wont shut up,,"""I won't shut up!""",,1.0
common_voice_en_100312,do you know whats wrong with you,modsw,"""Do you know what's wrong with you?""", M.O.D.S.W.,1.0
common_voice_en_100313,i never knew grandma to be so determined before,prana mamma raj restricted her name,I never knew grandma to be so determined before., Prana mamma Raj restricted her name!,1.0
common_voice_en_100314,read all about it,,Read all about it!,,1.0
common_voice_en_100315,hes looking for you,please stop talking to you,"""He's looking for you.""", Please stop talking to you.,1.0
common_voice_en_100316,the things not working,god bless you all,"""The thing's not working!""", God bless you all.,1.0
common_voice_en_100317,if you are using firefox try out this sample module,if you are using apex i have the same number,"If you are using Firefox, try out this sample module."," If you are using Apex, I have the same number.",0.6
common_voice_en_100318,she went backpacking around europe with a friend from high school,she went back to new york for the time being hospital,She went backpacking around Europe with a friend from high school.," She went back to New York for the time being, hospital.",0.8181818181818182
common_voice_en_100319,whenever i fall asleep i dont dream,remember our awesome arm train,"""Whenever I fall asleep, I don't dream.""", Remember our awesome arm train.,1.0
common_voice_en_100320,touching the knob of the door triggers this bluetooth camera to take a snapshot,prati vina apodhya apshikas esdhvimtet tena disidh asnaksas,Touching the knob of the door triggers this Bluetooth camera to take a snapshot.," Prati vina, apodhya, apshikas, esdhvimtet, tena, disidh, asnaksas.",1.0
common_voice_en_100321,to do linux development i rely on nx a remote desktop solution,to do the audience development i rely on nnx a remote desktop solution,"To do Linux development, I rely on NX, a remote desktop solution."," To do the audience development, I rely on NNX, a remote desktop solution.",0.25
common_voice_en_100322,this is a ludicrous situation,this is a new dangerous situation,This is a ludicrous situation., This is a new dangerous situation.,0.4
common_voice_en_100323,it could have been written much more clearly,a happy wedding must not fail,It could have been written much more clearly., A happy wedding must not fail.,1.0
common_voice_en_100324,light up with the street with johnson,black apple street wisconsin,Light up with the street with Johnson!," Black Apple Street, Wisconsin.",0.8571428571428571
common_voice_en_100325,you and i were the only ones that kept our heads,you know the only place that a couple has,You and I were the only ones that kept our heads., You know the only place that a couple has.,0.6363636363636364
common_voice_en_100326,the kangaroo hopped noisily,i got a new hot mascara,The kangaroo hopped noisily., i got a new hot mascara,1.5
common_voice_en_100327,how are you doing,thank you,How are you doing?, Thank you.,0.75
common_voice_en_100328,you will need some rubber boots,ari you,You will need some rubber boots.,ari you,1.0
common_voice_en_100329,thats what she said the last time,thats what she said the last time,"""That's what she said the last time.""", That's what she said the last time.,0.0
common_voice_en_100330,it was aligned perfectly,,It was aligned perfectly.,,1.0
common_voice_en_100331,this is jon davis,this is jack iınız,This is Jon Davis., this is Jack iınız,0.5
common_voice_en_100332,darkness fell upon the four men as they lay in wait atop the mountain,god knows better than for man as they lay in wait in the mountain,Darkness fell upon the four men as they lay in wait atop the mountain.," God knows better than for man, as they lay in wait, in the mountain.",0.5
common_voice_en_100333,there was no justification for it,there is no justice in friendship for us,There was no justification for it., There is no justice in friendship for us.,0.8333333333333334
common_voice_en_100335,somebody should eat the mango i guess it is me,somebody should be the man that i asked to be,"Somebody should eat the mango, I guess it is me.", Somebody should be the man that I asked to be.,0.7
common_voice_en_100336,glass eel is on the menu today but its too expensive,poslock,"""Glass eel is on the menu today, but it's too expensive.""", Poslock!!!,1.0
common_voice_en_100337,a drilling machine is used to fixate the ice hockey goal,the drone machine is used to facilitate the launch of the moon,A drilling machine is used to fixate the ice hockey goal., The drone machine is used to facilitate the launch of the moon.,0.6363636363636364
common_voice_en_100339,there were thirty girls on the soccer field,theyre the very first in the summer field,There were thirty girls on the soccer field., They're the very first in the summer field.,0.75
common_voice_en_100340,i didnt say anything,thank you so much,"""I didn't say anything.""", Thank you so much.,1.0
common_voice_en_100341,she wasnt her type,she wasnt her time,"""She wasn't her type.""", She wasn't her time.,0.25
common_voice_en_100342,i think i got a date,i think im out of stage,I think I got a date., I think I'm out of stage.,0.6666666666666666
common_voice_en_100343,deepspeech is a stateoftheart deeplearningbased speech recognition system,ipscic is a star of the art in line with the speed for our initial system,DeepSpeech is a state-of-the-art deep-learning-based speech recognition system.," Ipscic is a star of the art, in line with the speed for our initial system.",1.625
common_voice_en_100344,i passed away in it,i cast a magnet,I passed away in it., I cast a magnet.,0.8
common_voice_en_100345,the big charleston contest,the big safton contest,The big Charleston contest., The Big Safton Contest,0.25
common_voice_en_100346,yes that is the coat i want to wear,yes,"Yes, that IS the coat I want to wear."," Yes,",0.8888888888888888
common_voice_en_100347,shall i announce you,shall i announce you,Shall I announce you?, Shall I announce you?,0.0
common_voice_en_100348,give me precise instructions how to decontaminate the trooper,but beneath the size instructions faculty and community are sure to follow,Give me precise instructions how to decontaminate the trooper.," But, beneath the size instructions, faculty and community are sure to follow.",1.2222222222222223
common_voice_en_100349,get me walter burns,trust me im not that dense,Get me Walter Burns.," Trust me, I'm not that dense.",1.25
common_voice_en_100350,my laptop has crashed,blast off hostiles,My laptop has crashed.," Blast off, hostiles.",1.0
common_voice_en_100351,my roommates boyfriend is taking up two shelves of fridge space with his beer,now the last platform is taking up two shelves of food for each slice of the scale,My roommate’s boyfriend is taking up two shelves of fridge space with his beer., Now the last platform is taking up two shelves of food for each slice of the scale.,0.7857142857142857
common_voice_en_1004468,that is all i know,bye,That is all I know., Bye.,1.0
common_voice_en_1004470,the combination of trumpets violins and a drum set is quite unusual,dzień dobry jestem na przepadku a on teraz został starym i źle,"The combination of trumpets, violins and a drum set is quite unusual."," Dzień dobry, jestem na przepadku, a on teraz został starym i źle.",1.0
common_voice_en_1004471,how much do you want,how much do you want,How much do you want?, How much do you want?,0.0
common_voice_en_1004472,the basketball bounced off his shield of titanium,to fight the fib prends on the street on this sunday,The basketball bounced off his shield of titanium., To fight the fib prends on the street on this Sunday.,1.25
common_voice_en_1004473,hes an immigrant from portugal,see you soon on the road from cushcow,"""He's an immigrant from Portugal.""", See you soon on the road from Cushcow.,1.4
common_voice_en_10047,in some places the ground was covered with the salt of driedup lakes,mesitimus,"In some places, the ground was covered with the salt of dried-up lakes.", Mesitimus,1.0
common_voice_en_10048,that baker he said to himself without completing the thought,with that break he said to himself the mouth of gatineau was closed,"""""""That baker..."""" he said to himself, without completing the thought."""," With that break, he said to himself, the mouth of Gatineau was closed.",0.8
common_voice_en_10049,but in his heart he knew that it did matter,but there is a team in the commitment,But in his heart he knew that it did matter., But there is a team in the commitment.,0.9
common_voice_en_10050,finally after hours of waiting the guard bade the boy enter,finally after all this voting we can now call it a day in the chat,"Finally, after hours of waiting, the guard bade the boy enter."," Finally, after all this voting, we can now call it a day in the chat.",1.1818181818181819
common_voice_en_10051,mostly just the hearts of those who are trying to realize their destinies,måstly juspicials are found to apply to their most predictings,Mostly just the hearts of those who are trying to realize their destinies.," MÅSTLY, JUSPICIALS ARE FOUND TO APPLY TO THEIR MOST PREDICTINGS.",0.9230769230769231
common_voice_en_10052,thats the way it will be with our love for each other,thats the way people do their most to each other,"""That's the way it will be with our love for each other.""", That's the way people do their most to each other.,0.5833333333333334
common_voice_en_10053,the boy was also saddened his friend was in pursuit of his destiny,so will das konzept sein wie es für die persönlichkeits und veranstaltungen,The boy was also saddened; his friend was in pursuit of his destiny.," So will das Konzept sein, wie es für die Persönlichkeits- und Veranstaltungen.",1.0
common_voice_en_10054,it was difficult not to think about what he had left behind,and both of you took one to see the galaxy that was behind,It was difficult not to think about what he had left behind., and both of you took one to see the galaxy that was behind.,1.0
common_voice_en_10055,so he began to wander through the city and found himself at the gates,there are育것 jellyfish and many as well to choose from,"So he began to wander through the city, and found himself at the gates.", There are育것 jellyfish and many as well to choose from.,1.0
common_voice_en_100552,a large piece suddenly came off and fell with a loud and sharp noise,and as soon as they make a point of language and i can stop them,A large piece suddenly came off and fell with a loud and sharp noise., and as soon as they make a point of language And I can stop them,1.0714285714285714
common_voice_en_100553,the newspaper articles had prepared everyone for the reception of the idea,the most nogbeautifulيلol island of c好好,The newspaper articles had prepared everyone for the reception of the idea., The most nog-beautifulيلol island of C好好,0.8333333333333334
common_voice_en_100555,most meteorites are more or less rounded,at this time im going to have to move now,Most meteorites are more or less rounded., At this time I'm going to have to move now.,1.4285714285714286
common_voice_en_100556,i heard a peculiar humming sound from the pit,im sorry i didnt see you last night im sorry about that,I heard a peculiar humming sound from the pit., I'm sorry I didn't see you last night. I'm sorry about that.,1.2222222222222223
common_voice_en_100557,the burning fire had been extinguished,power in fire,The burning fire had been extinguished., Power in fire.,0.8333333333333334
common_voice_en_10056,it was the pure language of the world,thank you,It was the pure Language of the World., Thank you.,1.0
common_voice_en_10056232,better late thrive than never do well,i dont make the house and i dont do that,Better late thrive than never do well., I don't make the house and I don't do that.,1.2857142857142858
common_voice_en_10056233,the gloss on top made it unfit to read,the class center made it unseemly to read,The gloss on top made it unfit to read., The class center made it unseemly to read.,0.4444444444444444
common_voice_en_10056234,the music played on while they talked,well be right back,The music played on while they talked., We'll be right back.,1.0
common_voice_en_10056235,you are quite right,now call the police,You are quite right., Now call the police.,1.0
common_voice_en_10056236,do that with a wooden stick,thats what im stuck,Do that with a wooden stick., That's what I'm stuck.,1.0
common_voice_en_10056237,wow look how deep this canyon is,888 varia fraction,"Wow, look how deep this canyon is!", 888 Varia fraction,1.0
common_voice_en_10057,the old man wore a breastplate of heavy gold covered with precious stones,the old man rolled a plastic heavy bill covered with precious stones,"The old man wore a breastplate of heavy gold, covered with precious stones."," The old man rolled a plastic heavy bill, covered with precious stones.",0.3076923076923077
common_voice_en_10058,and thats where the power of love comes in,and thats where powerful comes in,"""And that's where the power of love comes in.""", And that's where powerful comes in.,0.4444444444444444
common_voice_en_10059,he dressed in his arabian clothing of white linen bought especially for this day,he dressed in his abbeythrowing white linen and had a sexy fancy eye,"He dressed in his Arabian clothing of white linen, bought especially for this day."," He dressed in his abbey-throwing white linen, and had a sexy, fancy eye.",0.6428571428571429
common_voice_en_10060,the omens will begin insistently to speak of it and youll try to ignore them,the elements begin in system a to c1 and move from a to r,"""The omens will begin insistently to speak of it, and you'll try to ignore them."""," The elements begin in system A to C-1, and move from A to R.",0.8
common_voice_en_10061,it may be the gases of the firing that caused the martians inconvenience,they may be the gases of the firing that fuels the martians inconvenience,It may be the gases of the firing that caused the Martians inconvenience., They may be the gases of the firing that fuels the Martians' inconvenience.,0.15384615384615385
common_voice_en_100703,who is this man,bless us maam,Who is this man?," Bless us, ma'am.",1.0
common_voice_en_100704,please look up the song twist of shadows,please let the sun close their shadows,"Please look up the song, Twist of shadows.", Please let the sun close their shadows.,0.625
common_voice_en_100705,i think somebody stole one of his crown jewels,i think someone stole one of his grand tools,I think somebody stole one of his crown jewels., I think someone stole one of his grand tools.,0.3333333333333333
common_voice_en_100706,the everlasting jew the wandering jew,the upper left hand tube the right hand tube,The everlasting Jew the wandering Jew," The upper left hand tube, the right hand tube.",1.1666666666666667
common_voice_en_100707,arnold presented a chart showing how many storks he had counted in the past ten years,almost presently taught john lewis started counting past 10 years,Arnold presented a chart showing how many storks he had counted in the past ten years.," Almost presently taught, John Lewis started counting past 10 years.",0.875
